wm_shipment_sk,calendar_date,calendar_period,calendar_date_sk,posting_period,site_id,site_sk,wm_warehouse_cd,warehouse_sk,asn_type_cd,asn_type_desc,shipment_no,qc_hold_upon_receipt_ind,ship_via_cd,manifest_no,bill_of_lading_no,trailer_no,order_no,received_from_no,received_from_vendor_name,received_from_vendor_addr_1,received_from_vendor_addr_2,received_from_vendor_addr_3,received_from_vendor_city,received_from_vendor_state_cd,received_from_vendor_zip,received_from_vendor_phone_no,representative_name,hdr_shipped_cases_qty,hdr_shipped_bottles_qty,hdr_received_cases_qty,hdr_received_bottles_qty,shipped_dt,scheduled_start_receive_dt,scheduled_start_receive_time,first_receipt_dt,first_receipt_time,last_receipt_dt,last_receipt_time,verified_dt,shipment_priority_ind,hrd_asn_status_cd,hdr_asn_status_desc,seal_no,scac_cd,pickticket_order_type,sap_company_cd,warehouse_no,pickicket_wave_no,vendor_asn_no,po_no,po_line_no,item_no,wm_item_sk,wm_item_hist_sk,shipment_seq_no,inventory_type_cd,product_status_cd,bottles_per_case,dtl_shipped_cases_qty,dtl_shipped_bottles_qty,dtl_received_cases_qty,dtl_received_bottles_qty,verified_cases_qty,verified_bottles_qty,pre_received_qty,bottles_per_pallet,laid_in_price_per_case_amt,process_immediate_needs_ind,item_manufacturing_dt,item_expiration_dt,dtl_asn_status_cd,dtl_asn_status_desc,original_pickticket_line_qty,load_dt,load_id,modified_dt,modified_user,src_desc,source_system,check_sum
46803079,2025-02-11 00:00:00,202502,20250211,,7002,-7002,AGC,-961,1,PO ASN,4067512,,,,,,,SGWWESNJ,WESTERN CARRIERS HUB,5601 WESTSIDE AVE,,,NORTH BERGEN,NJ,07047,,,0,22.,0,0.,20241220,20241227,0,0,0,0,0,0,N,10,,,,,50,35100,,,,1,MISCHIC,2402272,13113973,1,F,XDK,1.,0,22.,0,0.,0,0.,22.,0.,0.,Y,0,0,10,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,f7b6a83efb2b676629cd68a746d5593a
46738883,2024-12-20 00:00:00,202412,20241220,,7002,-7002,AGC,-961,1,PO ASN,4080007,,,,,,,705616,CORDELIA ROAD 2875,2875 CORDELIA ROAD,,,FAIRFIELD,CA,94534,,,0,22.,13,754.,20241219,20241219,0,20241220,111204,20241220,111204,0,N,40,,,,,50,35100,,,,1,MISCHIC,2402272,13113973,1,F,XDK,1.,0,22.,13,754.,0,0.,754.,0.,0.,Y,0,0,40,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,69d12edbced8356e75f9bb01abdbc75c
46514168,2024-12-23 00:00:00,202412,20241223,,7002,-7002,AGC,-961,3,Inbound ASN,84962708,,PWIC,,84962708,53143,,700051,AMERICOLD WA,1115 WEST ROSE STREET,,,WALLA WALLA,WA,99362,,,0,88.,23,1770.,20241220,20241220,0,20241223,121347,20241223,121445,0,N,40,,NO,,,9999,99990,,,4081675,1,MISCTXH,2180193,12920171,4,F,XDK,1.,0,22.,7,696.,0,0.,696.,0.,0.,Y,0,0,40,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,107f5c8bf93e023597f9115e4996c8c3
46441919,2025-01-30 00:00:00,202501,20250130,,7002,-7002,AGC,-961,1,PO ASN,4082996,,,,,,,700145,BIAGI CA 787,787 AIRPARK ROAD,,,NAPA,CA,94558,,,0,22.,1,1.,20241230,20241230,0,20241230,233639,20241230,233639,0,N,40,,,,,160,74100,,,,1,MISCMIN,12772823,12985326,1,F,XDK,1.,0,22.,1,1.,0,0.,22.,0.,0.,Y,0,0,40,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,b7f853a564953d50b05d1191baf10e04
46862359,2024-12-20 00:00:00,202412,20241220,,7002,-7002,AGC,-961,3,Inbound ASN,84976049,,,,,,,705986,EDI_113961_WESTERN CA,125 MEZZETTA COURT,,,AMERICAN CANYON,CA,94503,,,0,396.,3,66.,20241227,20241227,0,20241230,163701,20241230,163701,0,N,40,,,,,9999,99990,,,4082556,1,MISCHIM,920691,13016240,1,F,XDK,1.,0,22.,0,0.,0,0.,0.,0.,0.,Y,0,0,10,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,c545b39f4689e116efe108e2c1985e66
46595125,2025-02-11 00:00:00,202502,20250211,,7002,-7002,AGC,-961,1,PO ASN,4052333,,,,,,,SGWWESNJ,WESTERN CARRIERS HUB,5601 WESTSIDE AVE,,,NORTH BERGEN,NJ,07047,,,0,22.,1,1.,20241220,20241227,0,20250103,194258,20250103,194258,0,N,40,,,,,50,35300,,,,1,MISCHIM,920691,13016240,1,F,XDK,1.,0,22.,1,1.,0,0.,22.,0.,0.,Y,0,0,40,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,c06ad09b1fb592ef5c81b739ab9a5742
46877942,2025-01-02 00:00:00,202501,20250102,,7002,-7002,AGC,-961,3,Inbound ASN,84976041,,SNKS,,84976041,202,,700051,AMERICOLD WA,1115 WEST ROSE STREET,,,WALLA WALLA,WA,99362,,,0,44.,21,1476.,20241230,20250102,0,20250102,125708,20250122,153437,0,N,40,,NO,,,9999,99990,,,4048697,1,MISCIAU,9594909,12906807,1,F,XDK,1.,0,22.,10,563.,0,0.,563.,0.,0.,Y,0,0,40,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,6005d059ee68702842dbb07b3fb636e6
46657987,2025-02-11 00:00:00,202502,20250211,,7002,-7002,AGC,-961,3,Inbound ASN,84981032,,,,,,,SGWWESNJ,WESTERN CARRIERS HUB,5601 WESTSIDE AVE,,,NORTH BERGEN,NJ,07047,,,0,1100.,46,55.,20241220,20241227,0,20250103,191305,20250205,123642,0,N,40,,,,,9999,99990,,,4071594,1,MISCHIC,2402272,13113973,15,F,XDK,1.,0,22.,1,10.,0,0.,10.,0.,0.,Y,0,0,40,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,2ea79677c0d80ee0e124f122e8d659a8
55431505,2025-02-27 00:00:00,202502,20250227,,7002,-7002,AGC,-961,1,PO ASN,4134123,,,,,,,6612-WCD1,SGWS HAWAII - ANKAA CA RDC FAIRFIEL,2130 CORDELIA ROAD,,,FAIRFIELD,CA,94534,,,0,22.,0,0.,20250224,20250224,0,0,0,0,0,0,N,10,,,,,50,35100,,,,1,MISCHIC,2402272,13113973,1,F,XDK,1.,0,22.,0,0.,0,0.,44.,0.,0.,Y,0,0,10,,0.,2025-02-20 02:22:42,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4371204_20250219190044.txt,WMI,9ef5bb877748545cd0aa7fbfe3756a9b
34648076,2024-09-24 00:00:00,202409,20240924,,7001,-7001,AGK,-960,3,Inbound ASN,82732318,,WECA,,NA,1270,,100033,PERNOD RICARD USA,100 MANHATTANVILLE ROAD,,,NORTH BERGEN,NY,10577,,WESTERN CARRIERS INC,0,10524.,22,9228.,20240917,20240919,0,20240923,101227,20240923,105404,20240924,N,90,,485519,,,0,64200,,,3994693,6,600814,69898,11864323,6,F,KSE,12.,0,432.,1,432.,1,432.,432.,0.,0.,Y,0,0,90,,0.,2024-09-19 22:19:53,0,2025-04-21 22:33:17,INFAJOB,WMIAHASNF_15_AGK_3906578_20240919160034.txt,WMI,596edfa46904131ef965dba1a8f4bf19
