wm_item_sk,bottles_per_case,case_weight,case_volume,case_weight_uom,case_volume_uom,case_length,case_width,case_height,case_dimension_uom,site_id,wm_warehouse_cd,item_no,division_cd,division_desc,item_desc,item_size,case_price_amt,bottles_per_pallet,pallet_length,pallet_width,pallet_height,pallet_dimension_uom,max_pallet_stacked_qty,bottles_per_layer,bottle_weight,bottle_volume,pallet_weight,pallet_weight_uom,pallet_volume,pallet_volume_uom,cases_per_layer_qty,layers_per_pallet_qty,item_conveyable_ind,case_putaway_type_cd,bottle_length,bottle_width,bottle_height,bottle_dimension_uom,lpn_label_case_ind,heat_sensitive_ind,force_qualtiy_control_audit_ind,bulk_stack_off_set_cd,wcs_tote_cd,perm_assignment_cd,override_pick_type_cd,scm_item_status_cd,scm_item_status_desc,path_no,corp_suppl_sapvnd_num,vendor_product_no,category_cd,suppl_item_no_xref,scc_barcode,upc_barcode,bupc_barcode,crv_barcode,mon_barcode,ean_barcode,load_dt,load_id,modified_dt,modified_user,src_desc,source_system,check_sum
97528,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,624063,N,,FOLEY FAMILY WINES BRUT SANTA RITA,750ML,48.33,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,,105174,96425,W,,,,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,e2dca9ef221a5004394e46919bae2468
112246,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,544625,S,,MAKERS MARK BBN PS(WINPLSHOW)107.8,750ML,33.64,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,,100285,26357,L,,10085246500467,085246500460,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,c556ab0817b9ff17c22019aaf65a310d
111587,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,529832,S,,EL TESORO TEQ REP SB(MTUCCIS)80,750ML,27.34,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,,100285,6271,L,,10080686762024,080686762027,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,078bbd4bf602e6c13f1140327e8bc8c1
121846,3,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,898442,D,,CLICQUOT EXTRA BRUT EXTRA OLD,1.5L,121.98,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,,Blank As Valid,,100464,29476,W,,10081753834125,081753828837,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,a8a8b7e72b91c74e933f54f4b7934a6b
103283,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,596174,C,,MAKERS MARK BBN PS(CHARTERHTL7335),750ML,5.,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,,100285,26357,L,,10085246500467,085246500460,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,8e7cf1fd4154d6ea6e0ea7024eb7a891
118641,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,615852,S,,MAKERS MARK BBN PS(QFC#8741)110.2,750ML,5.,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,,100285,26357,L,,10085246500467,085246500460,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,aa2e3133b2242b5b98b717b404966e7e
311763,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,661900,S,,GLENLIVET SCO SM 12Y80 W/LE CARTON,750ML,0.,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,,,,Blank As Valid,,100033,29022,L,,10080432002626,080432400630,,,,,2025-07-04 06:17:14,0,2025-07-05 01:15:52,INFA JOB,WMISTSTYL_2_AGC_4757530_20250703190047.txt,WMI,2f6b08b85d9dbc7cf0d6060b6bc624d6
116260,4,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,463628,S,,DAMMANN VERT JASMIN SACHET,UNIT,0.,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,,100271,2990,N,,,,,,,,2024-09-18 01:20:31,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3900833_20240917190033.txt,WMI,3bc25012aa73a2e30a263ba87d8e76d4
271424,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7001,AGK,534980,J,,CAYMUS SUISUN WALKING FOOL RED 19,750ML,0.,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,,Blank As Valid,2019,100102,21308,W,,20017224710015,017224710011,,,,,2025-04-02 22:29:17,0,2025-06-18 22:25:31,INFA JOB,WMISTSTYL_2_AGK_4491202_20250402160041.txt,WMI,e11ca57659809c67f598a0233e81a994
216763,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7001,AGK,984078,S,,STAGS LEAP WN CEL CAB SV ARTEMIS18,750ML,49.94,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,,,10,Sku Active,2018,115681,684,W,,10088593700207,088593700200,,,,,2025-06-28 22:15:52,0,2025-06-29 22:25:53,INFA JOB,WMISTSTYL_2_AGK_4742060_20250628160045.txt,WMI,0a593e8b4948435c4d3f62cb793cf63b
